id, name, src, srcPort, srcMask, dst, dstPort, dstMask, protocol, action, appId, bidirectional, vlanId, disabled, scheduledInitialDate, scheduledFinalDate
,block http,37.130.160.0,,255.255.255.0,,80,,ANY,BLOCK,,TRUE,,FALSE,,
,block ftp,37.130.160.0,,255.255.255.0,,21,,ANY,BLOCK,,TRUE,,FALSE,,
,block port 6123,37.130.160.0,6123,255.255.255.0,,6123,,ANY,BLOCK,,TRUE,,FALSE,,
,block port 4444,37.130.160.0,4444,255.255.255.0,,4444,,ANY,BLOCK,,TRUE,,FALSE,,
,Block 37.130.160.12,37.130.160.12,,,,,,,BLOCK,,TRUE,,FALSE,,
,Block 37.130.160.17,37.130.160.17,,,,,,,BLOCK,,TRUE,,FALSE,,
,Block 37.130.160.20,37.130.160.20,,,,,,,BLOCK,,TRUE,,FALSE,,
,Block 37.130.160.21,37.130.160.21,,,,,,,BLOCK,,TRUE,,FALSE,,
,Block 37.130.160.22,37.130.160.22,,,,,,,BLOCK,,TRUE,,FALSE,,
,Block 37.130.160.23,37.130.160.23,,,,,,,BLOCK,,TRUE,,FALSE,,
,Block 37.130.160.26,37.130.160.26,,,,,,,BLOCK,,TRUE,,FALSE,,
,Block 37.130.160.38,37.130.160.38,,,,,,,BLOCK,,TRUE,,FALSE,,
,Block 37.130.160.39,37.130.160.39,,,,,,,BLOCK,,TRUE,,FALSE,,
,Block 37.130.160.40,37.130.160.40,,,,,,,BLOCK,,TRUE,,FALSE,,
,Block 37.130.160.42,37.130.160.42,,,,,,,BLOCK,,TRUE,,FALSE,,
,Block 37.130.161.22,37.130.161.22,,,,,,,BLOCK,,TRUE,,FALSE,,
,Block 37.130.166.77,37.130.166.77,,,,,,,BLOCK,,TRUE,,FALSE,,
,Block 37.130.167.120,37.130.167.120,,,,,,,BLOCK,,TRUE,,FALSE,,
,Block 37.130.168.2,37.130.168.2,,,,,,,BLOCK,,TRUE,,FALSE,,
,Block 37.130.170.200,37.130.170.200,,,,,,,BLOCK,,TRUE,,FALSE,,
